"Player","Squad","Nation","Pos","Pos2","Age","Born","Total_Match_Played","Total_Playing_Time","Minutes_Per_Match_Played","Percent_of_Squad_Minutes_Played","Matches_Started","Minutes_Per_Match_Start","Complete_Matches_PLayed","Matches_Played_As_Substitute","Minutes_Per_Match_Substitute","Player_Points_Per_Match","Player_On_Pitch_Squad_Goals","Player_On_Pitch_Goals_Allowed","Weekly_Wages","Annual_Wages"
"Arnaud Souquet","Montpellier","FRA","DF",NA,29,1992,34,2334,69,68.2,27,83,14,7,13,1.18,35,39,8269,430000
"Aurélien Tchouaméni","Monaco","FRA","MF",NA,21,2000,35,2929,84,85.6,33,87,29,2,29,1.89,58,33,19231,1e+06
"Axel Disasi","Monaco","FRA","DF",NA,23,1998,32,2721,85,79.6,30,88,26,2,35,1.81,52,34,13846,720000
"Azzedine Ounahi","Angers","MAR","MF",NA,21,2000,32,1633,51,47.7,16,85,10,16,17,0.97,19,34,1731,90000
"Bakary Sako","Saint-Étienne","MLI","FW","MF",33,1988,7,156,22,4.6,1,38,0,6,20,0.71,1,3,5769,3e+05
"Bamba Dieng","Marseille","SEN","FW",NA,21,2000,25,975,39,28.5,11,66,1,14,18,1.68,22,8,769,40000
"Baptiste Santamaria","Rennes","FRA","MF","DF",26,1995,34,2518,74,73.6,28,86,23,6,20,1.71,62,36,30192,1570000
"Batista Mendy","Angers","FRA","MF","DF",21,2000,34,2413,71,70.6,27,83,16,7,26,1.06,32,41,10577,550000
"Béni Makouana","Montpellier","CGO","FW","MF",18,2002,23,322,14,9.4,1,90,1,22,11,0.61,2,9,577,30000
"Benoît Badiashile","Monaco","FRA","DF",NA,20,2001,24,1838,77,53.7,21,86,18,3,8,2.08,35,22,11154,580000
"Birger Meling","Rennes","NOR","DF",NA,26,1994,31,1829,59,53.5,20,83,13,11,15,2,46,18,29423,1530000
"Bonke Innocent","Lorient","NGA","MF",NA,25,1996,12,874,73,25.6,11,78,6,1,18,1.17,7,11,5192,270000
"Boubacar Kamara","Marseille","FRA","MF","DF",21,1999,34,2778,82,81.2,31,87,26,3,26,1.97,53,30,27692,1440000
"Boubacar Traoré","Metz","MLI","MF",NA,19,2001,27,1726,64,50.5,17,86,14,10,27,0.81,14,31,577,30000
"Bradley Locko","Reims","FRA","MF","DF",19,2002,24,1011,42,29.6,11,59,3,13,28,1.29,20,21,769,40000
"Brandon Domingues","Troyes","FRA","MF","FW",21,2000,11,231,21,6.8,1,73,0,10,16,0.91,2,3,385,20000
"Brendan Chardonnet","Brest","FRA","DF",NA,26,1994,32,2686,84,78.5,31,86,29,1,13,1.28,41,38,1154,60000
"Bruno Guimarães","Lyon","BRA","MF",NA,23,1997,20,1634,82,47.8,19,84,11,1,45,1.55,27,18,46154,2400000
"Burak Yılmaz","Lille","TUR","FW",NA,36,1985,31,2211,71,64.6,25,84,12,6,17,1.58,31,27,42115,2190000
"Caio Henrique Oliveira Silva","Monaco","BRA","DF",NA,24,1997,34,2662,78,77.8,31,83,20,3,26,1.85,53,31,42115,2190000
"Calvin Stengs","Nice","NED","MF",NA,22,1998,24,1073,45,31.4,11,76,1,13,19,1.71,14,8,5962,310000
"Casimir Ninga","Angers","CHA","FW",NA,28,1993,16,409,26,12,3,76,0,13,14,0.81,2,6,8269,430000
