"Player","Squad","Nation","Pos","Pos2","Age","Progression_Carries","Progression_Passes_Delivered","Progression_Passes_Recived","Total_Passes_Completed","Total_Passes_Attempted","Total_Pass_Percentage","Short_Passes_Completed","Short_Passes_Attempted","Short_Pass_Percentage","Long_Passes_Completed","Long_Passes_Attempted","Long_Pass_Percentage","Medium_Passes_Completed","Medium_Passes_Attempted","Medium_Pass_Percentage","Key_Passes","Passes_Into_Penalty_Area","Crosses_Into_Penalty_Area","Live_Pass","Dead_Pass","Free_Kicks","Through_Balls","Switches","Crosses","Throw_Ins","Corner_Kicks","Offside","Touches","Take_Ons_Attempted","Take_Ons_Wins","Take_On_Win_Percentage","Take_Ons_Tackled","Take_Ons_Tackled_Percentage"
"Bakaye Dibassy","Amiens","MLI","DF",NA,29,15,48,11,715,906,78.9,344,387,88.9,34,102,33.3,315,375,84,2,3,2,852,53,10,0,0,10,43,0,1,1121,13,11,84.6,2,15.4
"Baptiste Santamaria","Angers","FRA","MF",NA,24,36,165,16,1079,1337,80.7,460,524,87.8,176,256,68.8,399,458,87.1,13,9,1,1321,14,12,2,33,12,2,0,2,1668,42,31,73.8,11,26.2
"Bassem Srarfi","Nice","TUN","FW","MF",22,3,3,11,39,46,84.8,21,22,95.5,4,6,66.7,12,13,92.3,1,2,0,44,2,1,0,0,6,1,0,0,59,4,1,25,3,75
"Benjamin André","Lille","FRA","MF",NA,28,25,130,47,965,1236,78.1,469,544,86.2,70,119,58.8,344,429,80.2,15,5,3,1208,21,19,1,15,12,1,0,7,1513,25,16,64,9,36
"Benjamin Bourigeaud","Rennes","FRA","MF",NA,25,30,120,58,902,1211,74.5,370,431,85.8,160,273,58.6,357,442,80.8,26,19,10,1066,140,66,2,37,123,17,57,5,1453,16,13,81.3,3,18.8
"Benjamin Corgnet","Strasbourg","FRA","MF","FW",32,3,6,12,43,78,55.1,26,37,70.3,2,6,33.3,8,21,38.1,1,1,0,70,7,0,0,0,9,1,2,1,103,6,3,50,3,50
"Benjamin Henrichs","Monaco","GER","DF","MF",22,22,54,49,421,526,80,201,234,85.9,31,55,56.4,182,213,85.4,6,6,3,462,61,13,0,6,17,48,0,3,645,14,8,57.1,6,42.9
"Benjamin Jeannot","Dijon","FRA","MF","FW",27,3,8,9,51,67,76.1,22,25,88,3,6,50,25,31,80.6,0,2,0,58,9,1,1,1,1,3,0,0,88,1,0,0,1,100
"Benoît Badiashile","Monaco","FRA","DF",NA,18,19,87,4,802,943,85,281,322,87.3,93,139,66.9,421,459,91.7,2,2,0,910,30,25,2,15,1,5,0,3,1091,5,4,80,1,20
"Benoît Costil","Bordeaux","FRA","GK",NA,32,0,0,0,622,883,70.4,119,119,100,235,495,47.5,265,266,99.6,0,1,0,567,316,69,0,4,0,1,0,0,948,2,2,100,0,0
