"Player","Squad","Nation","Pos","Pos2","Age","Assists","Goals+Assists","Penalty_Attempted","Penalty_Scored","Shots","Shots_on_Target","Shots_on_Target_Percentage","Goals_per_Shot","Goals_per_Shot_on_Target","Average_Shot_Distance","Free_Kick_Shots","Shot_Creating_Actions","Live_Pass_Shot_Creation","Other_Type_Shot_Creation","Goal_Creating_Actions","Live_Pass_Goal_Creation","Other_Type_Goal_Creation"
"Karl Darlow","Newcastle Utd","WAL","GK",NA,29,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,3,2,1,1,1,0
"Karlan Grant","West Brom","ENG","FW","MF",22,0,1,0,0,16,9,56.3,0.06,0.11,15.7,1,15,11,4,2,1,1
"Kasper Schmeichel","Leicester City","DEN","GK",NA,33,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,3,3,0,0,0,0
"Kayne Ramsey","Southampton","ENG","DF",NA,19,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Kean Bryan","Sheffield Utd","ENG","DF",NA,23,0,1,0,0,3,1,33.3,0.33,1,7.7,0,8,7,1,0,0,0
"Keinan Davis","Aston Villa","ENG","FW","MF",22,1,2,0,0,9,2,22.2,0.11,0.5,10.6,0,14,7,7,2,1,1
"Kelechi Iheanacho","Leicester City","NGA","FW",NA,23,2,14,1,0,58,24,41.4,0.21,0.5,17.6,1,52,40,12,3,2,1
"Kenny Tete","Fulham","NED","DF","MF",24,1,1,0,0,7,1,14.3,0,0,18.7,0,35,33,2,2,2,0
"Kepa Arrizabalaga","Chelsea","ESP","GK",NA,25,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,3,3,0,0,0,0
"Kevin De Bruyne","Manchester City","BEL","MF",NA,29,12,18,3,2,77,24,31.2,0.05,0.17,21,10,148,102,46,18,15,3
"Kevin Long","Burnley","IRL","DF",NA,29,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0
"Khanya Leshabela","Leicester City","RSA","MF",NA,20,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0
"Ki-Jana Hoever","Wolves","NED","DF","MF",18,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,9,8,1,0,0,0
"Kieran Gibbs","West Brom","ENG","DF",NA,30,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,5,5,0,1,1,0
"Kieran Tierney","Arsenal","SCO","DF",NA,23,3,4,0,0,15,3,20,0.07,0.33,24,0,57,45,12,8,3,5
"Kiko Casilla","Leeds United","ESP","GK",NA,33,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,2,0,0,0,0
"Kortney Hause","Aston Villa","ENG","DF",NA,25,0,1,0,0,5,1,20,0.2,1,7.9,0,1,0,1,0,0,0
"Kostas Tsimikas","Liverpool","GRE","DF","FW",24,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Kurt Zouma","Chelsea","FRA","DF",NA,25,0,5,0,0,27,12,44.4,0.19,0.42,13.4,0,14,11,3,0,0,0
"Kyle Bartley","West Brom","ENG","DF",NA,29,1,4,0,0,14,5,35.7,0.21,0.6,9,0,14,11,3,2,2,0
"Kyle Edwards","West Brom","ENG","MF","FW",22,0,0,0,0,2,1,50,0,0,15.4,0,2,2,0,0,0,0
"Kyle Walker","Manchester City","ENG","DF",NA,30,1,2,0,0,10,3,30,0.1,0.33,29.2,0,33,27,6,3,3,0
"Kyle Walker-Peters","Southampton","ENG","DF",NA,23,2,2,0,0,18,7,38.9,0,0,18.8,0,53,38,15,8,4,4
"Leander Dendoncker","Wolves","BEL","MF","DF",25,0,1,0,0,31,8,25.8,0.03,0.13,15,0,46,39,7,6,4,2
"Leandro Trossard","Brighton","BEL","MF","FW",25,5,10,0,0,58,23,39.7,0.09,0.22,18.6,2,110,80,30,11,6,5
"Lee Peltier","West Brom","ENG","DF",NA,33,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,3,3,0,1,1,0
"Leif Davis","Leeds United","ENG","DF",NA,20,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0
"Lewis Dunk","Brighton","ENG","DF",NA,28,0,5,0,0,32,14,43.8,0.16,0.36,15.2,3,26,20,6,0,0,0
"Lewis Richardson","Burnley","ENG","FW","MF",17,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Liam Cooper","Leeds United","SCO","DF",NA,28,0,1,0,0,15,8,53.3,0.07,0.13,8.9,0,17,13,4,2,2,0
"Liam Delap","Manchester City","ENG","FW",NA,17,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0
"Lucas Digne","Everton","FRA","DF","MF",27,7,7,0,0,NA,NA,NA,NA,NA,NA,NA,76,52,24,12,7,5
"Lucas Moura","Tottenham","BRA","FW","MF",27,4,7,0,0,18,6,33.3,0.17,0.5,16.1,0,39,27,12,9,7,2
