"Player","Squad","Nation","Pos","Pos2","Age","Progression_Carries","Progression_Passes_Delivered","Progression_Passes_Recived","Total_Passes_Completed","Total_Passes_Attempted","Total_Pass_Percentage","Short_Passes_Completed","Short_Passes_Attempted","Short_Pass_Percentage","Long_Passes_Completed","Long_Passes_Attempted","Long_Pass_Percentage","Medium_Passes_Completed","Medium_Passes_Attempted","Medium_Pass_Percentage","Key_Passes","Passes_Into_Penalty_Area","Crosses_Into_Penalty_Area","Live_Pass","Dead_Pass","Free_Kicks","Through_Balls","Switches","Crosses","Throw_Ins","Corner_Kicks","Offside","Touches","Take_Ons_Attempted","Take_Ons_Wins","Take_On_Win_Percentage","Take_Ons_Tackled","Take_Ons_Tackled_Percentage"
"Andrea Conti","Milan","ITA","DF",NA,26,3,3,0,21,24,87.5,7,7,100,1,1,100,13,16,81.3,1,1,0,21,3,1,1,0,1,2,0,0,556,5,2,40,3,60
"Andrea Conti","Milan","ITA","DF",NA,26,3,3,0,21,24,87.5,7,7,100,1,1,100,13,16,81.3,1,1,0,21,3,1,1,0,1,2,0,0,29,2,2,100,0,0
"Andrea Conti","Milan","ITA","DF",NA,26,3,3,0,21,24,87.5,7,7,100,1,1,100,13,16,81.3,1,1,0,371,90,13,0,1,24,76,1,0,556,5,2,40,3,60
"Andrea Conti","Milan","ITA","DF",NA,26,3,3,0,21,24,87.5,7,7,100,1,1,100,13,16,81.3,1,1,0,371,90,13,0,1,24,76,1,0,29,2,2,100,0,0
"Andrea Conti","Parma","ITA","DF",NA,26,20,42,21,21,24,87.5,7,7,100,1,1,100,13,16,81.3,1,1,0,371,90,13,0,1,24,76,1,0,556,5,2,40,3,60
"Andrea Conti","Parma","ITA","DF",NA,26,20,42,21,21,24,87.5,7,7,100,1,1,100,13,16,81.3,1,1,0,371,90,13,0,1,24,76,1,0,29,2,2,100,0,0
"Andrea Conti","Milan","ITA","DF",NA,26,3,3,0,373,461,80.9,160,180,88.9,30,48,62.5,176,213,82.6,7,10,6,371,90,13,0,1,24,76,1,0,556,5,2,40,3,60
"Andrea Conti","Milan","ITA","DF",NA,26,3,3,0,373,461,80.9,160,180,88.9,30,48,62.5,176,213,82.6,7,10,6,371,90,13,0,1,24,76,1,0,29,2,2,100,0,0
"Andrea Conti","Parma","ITA","DF",NA,26,20,42,21,373,461,80.9,160,180,88.9,30,48,62.5,176,213,82.6,7,10,6,371,90,13,0,1,24,76,1,0,556,5,2,40,3,60
"Andrea Conti","Parma","ITA","DF",NA,26,20,42,21,373,461,80.9,160,180,88.9,30,48,62.5,176,213,82.6,7,10,6,371,90,13,0,1,24,76,1,0,29,2,2,100,0,0
"Andrea Conti","Milan","ITA","DF",NA,26,3,3,0,373,461,80.9,160,180,88.9,30,48,62.5,176,213,82.6,7,10,6,21,3,1,1,0,1,2,0,0,556,5,2,40,3,60
"Andrea Conti","Milan","ITA","DF",NA,26,3,3,0,373,461,80.9,160,180,88.9,30,48,62.5,176,213,82.6,7,10,6,21,3,1,1,0,1,2,0,0,29,2,2,100,0,0
"Andrea Conti","Parma","ITA","DF",NA,26,20,42,21,373,461,80.9,160,180,88.9,30,48,62.5,176,213,82.6,7,10,6,21,3,1,1,0,1,2,0,0,556,5,2,40,3,60
"Andrea Conti","Parma","ITA","DF",NA,26,20,42,21,373,461,80.9,160,180,88.9,30,48,62.5,176,213,82.6,7,10,6,21,3,1,1,0,1,2,0,0,29,2,2,100,0,0
"Andrea Conti","Parma","ITA","DF",NA,26,20,42,21,21,24,87.5,7,7,100,1,1,100,13,16,81.3,1,1,0,21,3,1,1,0,1,2,0,0,556,5,2,40,3,60
"Andrea Conti","Parma","ITA","DF",NA,26,20,42,21,21,24,87.5,7,7,100,1,1,100,13,16,81.3,1,1,0,21,3,1,1,0,1,2,0,0,29,2,2,100,0,0
"Andrea Favilli","Hellas Verona","ITA","FW",NA,23,7,2,37,54,80,67.5,27,41,65.9,5,6,83.3,17,21,81,2,1,0,75,5,0,0,2,0,0,0,0,143,7,3,42.9,4,57.1
"Andrea Masiello","Genoa","ITA","DF",NA,34,9,99,13,1185,1422,83.3,493,540,91.3,136,238,57.1,528,597,88.4,7,10,3,1359,58,43,0,30,8,15,0,5,1670,1,1,100,0,0
"Andrea Petagna","Napoli","ITA","FW",NA,25,14,15,61,186,232,80.2,119,138,86.2,12,13,92.3,47,59,79.7,27,6,0,215,17,0,0,2,1,1,0,0,323,12,7,58.3,5,41.7
"Andrea Pinamonti","Inter","ITA","FW",NA,21,1,5,21,37,52,71.2,26,32,81.3,0,2,0,8,10,80,2,1,0,51,1,0,0,0,1,0,0,0,71,3,2,66.7,1,33.3
"Andrea Poli","Bologna","ITA","MF",NA,30,4,25,4,191,213,89.7,101,108,93.5,4,8,50,80,84,95.2,6,2,1,206,5,5,0,0,2,0,0,2,275,6,5,83.3,1,16.7
