"Player","Squad","Nation","Pos","Pos2","Age","Assists","Goals+Assists","Penalty_Attempted","Penalty_Scored","Shots","Shots_on_Target","Shots_on_Target_Percentage","Goals_per_Shot","Goals_per_Shot_on_Target","Average_Shot_Distance","Free_Kick_Shots","Shot_Creating_Actions","Live_Pass_Shot_Creation","Other_Type_Shot_Creation","Goal_Creating_Actions","Live_Pass_Goal_Creation","Other_Type_Goal_Creation"
"Hamadi Al Ghaddioui","Stuttgart","MAR","FW",NA,29,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0
"Hamza Mendyl","Schalke 04","MAR","FW","DF",22,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Hannes Wolf","Gladbach","AUT","MF","FW",21,2,5,0,0,16,7,43.8,0.19,0.43,14.6,0,38,35,3,8,7,1
"Håvard Nordtveit","Hoffenheim","NOR","DF",NA,30,0,0,0,0,3,1,33.3,0,0,13,0,6,4,2,0,0,0
"Henning Matriciani","Schalke 04","GER","DF",NA,20,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Hwang Hee-chan","RB Leipzig","KOR","FW","MF",24,1,1,0,0,10,5,50,0,0,12.4,0,10,5,5,2,1,1
"Iago","Augsburg","BRA","DF",NA,23,1,2,0,0,9,2,22.2,0.11,0.5,20.3,0,32,24,8,3,2,1
"Ibrahima Konaté","RB Leipzig","FRA","DF",NA,21,0,1,0,0,4,2,50,0.25,0.5,9.1,0,2,2,0,0,0,0
"Ibrahima Traoré","Gladbach","GUI","FW","DF",32,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0
"Ihlas Bebou","Hoffenheim","TOG","FW","MF",26,7,16,0,0,48,19,39.6,0.19,0.47,12.7,0,74,57,17,13,6,7
"Ilia Gruev","Werder Bremen","BUL","FW",NA,20,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Ishak Belfodil","Hoffenheim","ALG","FW","MF",28,1,1,0,0,12,3,25,0,0,12,0,20,15,5,1,1,0
"Ismail Jakobs","Köln","SEN","MF","FW",20,1,2,0,0,22,6,27.3,0.05,0.17,15.4,0,35,29,6,3,2,1
"Jacob Barrett Laursen","Arminia","DEN","DF",NA,25,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,11,8,3,1,1,0
"Jacob Bruun Larsen","Hoffenheim","DEN","MF","FW",21,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,3,3,0,0,0,0
"Jadon Sancho","Dortmund","ENG","FW","MF",20,11,19,1,1,51,16,31.4,0.14,0.44,16.8,2,125,87,38,19,15,4
"Jamal Musiala","Bayern Munich","GER","FW","MF",17,1,7,0,0,26,10,38.5,0.23,0.6,15.4,0,35,21,14,8,5,3
"Jan Luca Schuler","Schalke 04","GER","FW",NA,21,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Jan Morávek","Augsburg","CZE","MF",NA,30,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,8,7,1,1,1,0
"Jan Thielmann","Köln","GER","FW","MF",18,3,5,0,0,12,4,33.3,0.17,0.5,18,0,19,16,3,3,2,1
"Janik Haberer","Freiburg","GER","MF","FW",26,0,0,0,0,10,3,30,0,0,19.8,0,12,8,4,0,0,0
"Jannes Horn","Köln","GER","DF",NA,23,1,1,0,0,6,1,16.7,0,0,26.1,1,32,26,6,3,3,0
