"Player","Squad","Nation","Pos","Pos2","Age","Tackles","Tackles_Won","Tackles_Win_Percentage","Challenges","Challenges_Won","Challenges_Percentage","Total_Blocks","Shots_Blocked","Passes_Blocked","Interceptions","Clearances","Errors"
"Timo Becker","Schalke 04","GER","DF",NA,23,34,23,67.6470588235294,25,25,64,18,4,14,22,58,0
"Brian Behrendt","Arminia","GER","DF",NA,28,0,0,NA,1,1,0,0,0,0,0,1,0
"Maximilian Beier","Hoffenheim","GER","FW","DF",17,0,0,NA,1,1,0,0,0,0,0,0,0
"Ishak Belfodil","Hoffenheim","ALG","FW","MF",28,3,2,66.6666666666667,2,2,0,1,0,1,1,3,0
"Stefan Bell","Mainz 05","GER","DF",NA,28,24,18,75,23,23,60.9,19,11,8,27,76,1
"Karim Bellarabi","Leverkusen","GER","FW","MF",30,12,10,83.3333333333333,17,17,23.5,12,0,12,12,4,0
"Jude Bellingham","Dortmund","ENG","MF",NA,17,49,31,63.265306122449,46,46,41.3,37,5,32,24,13,0
"Lars Bender","Leverkusen","GER","DF",NA,31,19,13,68.421052631579,21,21,42.9,19,5,14,16,19,0
"Sven Bender","Leverkusen","GER","DF",NA,31,17,9,52.9411764705882,20,20,35,20,9,11,21,41,1
"László Bénes","Augsburg","SVK","MF",NA,22,8,6,75,8,8,25,6,2,4,7,1,1
"László Bénes","Gladbach","SVK","MF",NA,22,6,2,33.3333333333333,4,4,50,0,0,0,2,1,0
"Ramy Bensebaini","Gladbach","ALG","DF",NA,25,43,24,55.8139534883721,42,42,61.9,39,7,32,47,66,0
"Nabil Bentaleb","Schalke 04","ALG","MF",NA,25,14,8,57.1428571428571,15,15,26.7,5,2,3,6,8,0
"Jordan Beyer","Gladbach","GER","DF",NA,20,2,1,50,2,2,50,5,4,1,5,5,0
"Bartosz Białek","Wolfsburg","POL","FW","MF",18,6,5,83.3333333333333,4,4,100,5,1,4,3,4,0
"Ermin Bičakčić","Hoffenheim","BIH","DF",NA,30,1,1,100,1,1,100,1,1,0,3,9,0
"Leonardo Bittencourt","Werder Bremen","GER","MF","FW",26,58,32,55.1724137931034,51,51,31.4,29,2,27,13,10,0
"Jérôme Boateng","Bayern Munich","GER","DF",NA,31,26,16,61.5384615384615,32,32,43.8,24,17,7,40,63,1
"Jean-Paul Boëtius","Mainz 05","NED","MF","FW",26,42,28,66.6666666666667,47,47,36.2,37,3,34,33,14,0
"Melayro Bogarde","Hoffenheim","NED","DF","MF",18,7,3,42.8571428571429,9,9,55.6,0,0,0,5,1,0
"Elias Bördner","Eint Frankfurt","GER","GK",NA,18,1,0,0,1,1,100,0,0,0,2,1,0
"Sebastiaan Bornauw","Köln","BEL","DF",NA,21,29,20,68.9655172413793,25,25,56,33,26,7,40,104,0
"Nassim Boujellab","Schalke 04","MAR","MF","FW",21,13,9,69.2307692307692,12,12,16.7,10,3,7,7,9,0
"Dedryck Boyata","Hertha BSC","BEL","DF",NA,29,14,7,50,15,15,46.7,23,20,3,26,68,1
"Can Bozdogan","Schalke 04","GER","MF","FW",19,13,5,38.4615384615385,15,15,26.7,10,2,8,7,5,0
"Julian Brandt","Dortmund","GER","FW","MF",24,27,14,51.8518518518519,43,43,27.9,25,1,24,17,7,1
"Josip Brekalo","Wolfsburg","CRO","FW",NA,22,22,10,45.4545454545455,29,29,27.6,18,0,18,17,3,1
"John Brooks","Wolfsburg","USA","DF",NA,27,47,29,61.7021276595745,54,54,55.6,35,10,25,55,134,0
"Daniel Brosinski","Mainz 05","GER","DF","FW",32,19,14,73.6842105263158,31,31,38.7,18,1,17,14,33,0
"Cédric Brunner","Arminia","SUI","DF",NA,26,42,22,52.3809523809524,40,40,67.5,30,10,20,42,96,0
"Marius Bülter","Union Berlin","GER","FW","MF",27,15,8,53.3333333333333,17,17,29.4,17,2,15,12,11,0
"Jonathan Burkardt","Mainz 05","GER","FW","MF",20,27,13,48.1481481481481,19,19,57.9,20,3,17,8,15,0
"Nishan Burkart","Freiburg","SUI","MF",NA,20,0,0,NA,1,1,0,0,0,0,0,0,0
