"Player","Squad","Nation","Pos","Pos2","Age","Born","Total_Match_Played","Total_Playing_Time","Minutes_Per_Match_Played","Percent_of_Squad_Minutes_Played","Matches_Started","Minutes_Per_Match_Start","Complete_Matches_PLayed","Matches_Played_As_Substitute","Minutes_Per_Match_Substitute","Player_Points_Per_Match","Player_On_Pitch_Squad_Goals","Player_On_Pitch_Goals_Allowed","Weekly_Wages","Annual_Wages"
"Danny da Costa","Mainz 05","GER","DF","FW",27,1993,16,1208,76,39.5,15,79,7,1,20,1.81,19,17,14038,730000
"Danny da Costa","Eint Frankfurt","GER","DF",NA,27,1993,6,110,18,3.6,1,45,0,5,13,1,2,6,14038,730000
"Danny Latza","Mainz 05","GER","MF",NA,30,1989,29,1800,62,58.8,21,79,7,8,18,1,21,43,25000,1300000
"David Alaba","Bayern Munich","AUT","DF","MF",28,1992,32,2675,84,87.4,30,88,27,2,23,2.25,82,43,192308,1e+07
"Davie Selke","Werder Bremen","GER","FW",NA,25,1995,23,813,35,26.6,7,70,3,16,20,0.87,6,18,26923,1400000
"Dayot Upamecano","RB Leipzig","FRA","DF",NA,21,1998,29,2330,80,76.1,27,84,23,2,37,1.72,42,26,48077,2500000
"Dedryck Boyata","Hertha BSC","BEL","DF",NA,29,1990,19,1545,81,50.5,17,88,14,2,24,1.16,25,26,46154,2400000
"Demarai Gray","Leverkusen","JAM","FW",NA,24,1996,10,442,44,14.4,5,67,2,5,21,1,5,12,48077,2500000
"Denis Zakaria","Gladbach","SUI","MF","DF",23,1996,25,1419,57,46.4,15,80,7,10,21,1.48,37,26,40385,2100000
"Deyovaisio Zeefuik","Hertha BSC","NED","DF","FW",22,1998,22,905,41,29.6,10,66,2,12,20,1.09,11,14,11538,6e+05
"Dimitris Limnios","Köln","GRE","MF","FW",22,1998,12,378,32,12.4,2,61,0,10,26,0.25,3,6,7115,370000
"Djibril Sow","Eint Frankfurt","SUI","MF",NA,23,1997,28,2175,78,71.1,25,86,18,3,11,1.71,51,40,39808,2070000
"Dodi Lukebakio","Hertha BSC","BEL","FW","MF",22,1997,29,1855,64,60.6,21,76,3,8,32,1,29,35,48077,2500000
"Dominick Drexler","Köln","GER","MF","FW",30,1990,27,1233,46,40.3,11,77,2,16,24,1.04,12,21,18077,940000
"Dominik Kohr","Mainz 05","GER","MF",NA,26,1994,17,1268,75,41.4,14,88,12,3,12,1.88,22,18,22885,1190000
"Dominik Kohr","Eint Frankfurt","GER","MF","DF",26,1994,7,260,37,8.5,2,68,1,5,25,1.29,3,5,22885,1190000
"Dominique Heintz","Freiburg","GER","DF",NA,26,1993,21,1369,65,44.7,14,90,12,7,16,1.05,16,26,16154,840000
"Douglas Costa","Bayern Munich","BRA","FW","MF",29,1990,11,320,29,10.5,3,65,0,8,16,2.36,7,5,201923,10500000
"Edimilson Fernandes","Mainz 05","SUI","MF","FW",24,1996,14,841,60,27.5,9,79,4,5,26,0.64,10,17,32692,1700000
"Edmond Tapsoba","Leverkusen","BFA","DF",NA,21,1999,31,2652,86,86.7,29,90,29,2,21,1.55,44,35,21154,1100000
"Eduard Löwen","Hertha BSC","GER","MF","DF",23,1997,7,85,12,2.8,1,44,0,6,7,0.86,3,2,25000,1300000
"Elvis Rexhbeçaj","Köln","KVX","MF","FW",22,1997,30,1833,61,59.9,20,81,8,10,21,1,20,36,15962,830000
"Emil Forsberg","RB Leipzig","SWE","FW","MF",28,1991,29,1539,53,50.3,20,64,0,9,29,1.72,29,20,76923,4e+06
"Emmanuel Dennis","Köln","NGA","FW",NA,22,1997,9,474,53,15.5,6,72,2,3,13,0.78,6,9,7885,410000
"Emre Can","Dortmund","GER","DF","MF",26,1994,28,2133,76,69.7,23,86,19,5,31,1.86,53,32,169231,8800000
"Eric Maxim Choupo-Moting","Bayern Munich","CMR","FW","MF",31,1989,22,820,37,26.8,8,78,4,14,14,2.36,20,9,67308,3500000
"Erik Durm","Eint Frankfurt","GER","DF",NA,28,1992,21,1480,70,48.4,19,78,4,2,2,1.86,30,23,26923,1400000
"Erik Thommy","Stuttgart","GER","MF","DF",25,1994,8,313,39,10.2,3,62,0,5,25,1.25,6,7,21154,1100000
"Erling Haaland","Dortmund","NOR","FW",NA,20,2000,28,2407,86,78.7,27,88,23,1,27,1.93,64,33,151923,7900000
"Ermedin Demirović","Freiburg","BIH","FW",NA,22,1998,30,1498,50,49,19,70,0,11,15,1.4,32,26,7115,370000
"Exequiel Palacios","Leverkusen","ARG","MF",NA,21,1998,9,572,64,18.7,7,78,4,2,13,2.22,7,5,32692,1700000
"Fabian Klos","Arminia","GER","FW",NA,32,1987,34,2709,80,88.5,32,83,14,2,25,1.03,25,44,7115,370000
