"Player","Squad","Nation","Pos","Pos2","Age","Yellow_Card","Red_Card","Second_Yellow_Card","Total_Red_Cards","Fouls"
"Giovani Lo Celso","Villarreal","ARG","MF","FW",26,3,0,0,0,15
"David López","Girona","ESP","DF",NA,32,5,0,0,0,16
"Diego López","Valencia","ESP","FW","MF",20,0,0,0,0,6
"Unai López","Rayo Vallecano","ESP","MF",NA,26,2,0,0,0,22
"Anthony Lozano","Cádiz","HON","FW",NA,29,6,0,0,0,43
"Pol Lozano","Espanyol","ESP","MF",NA,22,1,0,0,0,1
"José Luis Gayà","Valencia","ESP","DF",NA,27,4,0,0,0,13
"José Luis Morales","Villarreal","ESP","FW","MF",35,2,0,0,0,6
"Awer Mabil","Cádiz","AUS","MF","FW",26,0,0,0,0,0
"Darwin Machís","Valladolid","VEN","FW",NA,29,1,0,0,0,10
"Pablo Maffeo","Mallorca","ESP","DF",NA,25,6,1,0,1,32
"Lisandro Magallán","Elche","ARG","DF",NA,28,0,1,0,1,15
"Jon Magunacelaya","Real Sociedad","ESP","MF","FW",22,0,0,0,0,1
"Nemanja Maksimović","Getafe","SRB","MF",NA,27,3,0,0,0,25
"Hugo Mallo","Celta Vigo","ESP","DF",NA,31,6,1,1,2,44
"Mickael Malsa","Valladolid","MTQ","MF",NA,26,0,0,0,0,2
"Giorgi Mamardashvili","Valencia","GEO","GK",NA,21,3,0,0,0,1
"Reinildo Mandava","Atlético Madrid","MOZ","DF",NA,28,4,0,0,0,32
"Aïssa Mandi","Villarreal","ALG","DF",NA,30,1,0,0,0,16
"Marcão","Sevilla","BRA","DF",NA,26,2,0,0,0,5
"Agustín Marchesín","Celta Vigo","ARG","GK",NA,34,2,0,0,0,0
"Óscar de Marcos","Athletic Club","ESP","DF",NA,33,7,0,0,0,43
"Alberto Marí","Valencia","ESP","FW","MF",21,1,0,0,0,3
"José Mari","Cádiz","ESP","MF",NA,34,4,0,0,0,6
"José María Giménez","Atlético Madrid","URU","DF",NA,27,9,0,0,0,19
"Mariano","Real Madrid","DOM","FW",NA,28,2,0,0,0,3
"Pablo Marín","Real Sociedad","ESP","MF","FW",19,1,0,0,0,12
"Roger Martí","Elche","ESP","FW",NA,31,2,0,0,0,16
"Roger Martí","Cádiz","ESP","FW",NA,31,1,0,0,0,26
"Ander Martin","Real Sociedad","ESP","MF","FW",21,0,0,0,0,2
