"Player","Squad","Nation","Pos","Pos2","Age","Yellow_Card","Red_Card","Second_Yellow_Card","Total_Red_Cards","Fouls"
"Charalambos Lykogiannis","Bologna","GRE","DF",NA,28,3,0,0,0,14
"Giulio Maggiore","Salernitana","ITA","MF",NA,24,2,0,0,0,20
"Giangiacomo Magnani","Hellas Verona","ITA","DF",NA,26,7,1,0,1,22
"Mike Maignan","Milan","FRA","GK",NA,27,0,0,0,0,0
"Jordan Majchrzak","Roma","POL","FW",NA,17,0,0,0,0,0
"Jean-Victor Makengo","Udinese","FRA","MF",NA,24,2,0,0,0,9
"Lorenzo Malagrida","Sampdoria","ITA","MF","DF",18,2,0,0,0,4
"Daniel Maldini","Spezia","ITA","FW","MF",20,1,0,0,0,13
"Youssef Maleh","Fiorentina","MAR","MF",NA,23,2,0,0,0,8
"Youssef Maleh","Lecce","MAR","MF",NA,23,3,0,0,0,22
"Ruslan Malinovskyi","Atalanta","UKR","MF","FW",29,2,0,0,0,10
"Gianluca Mancini","Roma","ITA","DF",NA,26,7,0,0,0,39
"Rolando Mandragora","Fiorentina","ITA","MF",NA,25,8,0,0,0,31
"Riccardo Marchizza","Sassuolo","ITA","DF",NA,24,1,0,0,0,7
"Gian Marco Ferrari","Sassuolo","ITA","DF",NA,30,5,0,0,0,24
"Pablo Marí","Monza","ESP","DF",NA,28,4,0,0,0,31
"Răzvan Marin","Empoli","ROU","MF",NA,26,7,0,0,0,31
"Marlon","Monza","BRA","DF",NA,26,7,1,0,1,23
"Luca Marrone","Monza","ITA","DF",NA,32,0,0,0,0,1
"Lautaro Martínez","Inter","ARG","FW",NA,24,3,0,0,0,46
"Lucas Martínez Quarta","Fiorentina","ARG","DF",NA,26,6,0,0,0,21
"Adam Marušić","Lazio","MNE","DF",NA,29,8,1,0,1,22
"Adam Masina","Udinese","MAR","DF",NA,28,2,0,0,0,11
"Nemanja Matić","Roma","SRB","MF",NA,33,5,0,0,0,19
"Pasquale Mazzocchi","Salernitana","ITA","DF",NA,27,2,0,0,0,27
"Weston McKennie","Juventus","USA","MF","DF",23,0,0,0,0,13
"Gary Medel","Bologna","CHI","MF","DF",34,5,0,0,0,19
"Soualiho Meïté","Cremonese","FRA","MF",NA,28,5,0,0,0,27
"Alex Meret","Napoli","ITA","GK",NA,25,0,0,0,0,0
"Junior Messias","Milan","BRA","FW","DF",31,3,0,0,0,24
"Tommaso Milanese","Cremonese","ITA","MF",NA,20,0,0,0,0,1
"Nikola Milenković","Fiorentina","SRB","DF",NA,24,4,0,0,0,39
"Arkadiusz Milik","Juventus","POL","FW",NA,28,3,1,1,2,27
"Sergej Milinković-Savić","Lazio","SRB","MF",NA,27,10,0,0,0,45
"Vanja Milinković-Savić","Torino","SRB","GK",NA,25,4,0,0,0,0
"Kim Min-jae","Napoli","KOR","DF",NA,25,5,0,0,0,30
"Aleksei Miranchuk","Torino","RUS","MF",NA,26,0,0,0,0,9
"Fabio Miretti","Juventus","ITA","MF","FW",18,2,0,0,0,24
"Filippo Missori","Roma","ITA","DF",NA,18,1,0,0,0,4
"Henrikh Mkhitaryan","Inter","ARM","MF",NA,33,4,0,0,0,28
"Salvatore Molina","Monza","ITA","DF",NA,30,1,0,0,0,4
"Daniele Montevago","Sampdoria","ITA","FW",NA,19,1,0,0,0,8
"Lorenzo Montipò","Hellas Verona","ITA","GK",NA,26,1,0,0,0,0
"Nikola Moro","Bologna","CRO","MF",NA,24,1,0,0,0,15
"Dany Mota","Monza","POR","FW","MF",24,2,0,0,0,20
"João Moutinho","Spezia","POR","DF","FW",24,0,0,0,0,1
