"Player","Squad","Nation","Pos","Pos2","Age","Assists","Goals+Assists","Penalty_Attempted","Penalty_Scored","Shots","Shots_on_Target","Shots_on_Target_Percentage","Goals_per_Shot","Goals_per_Shot_on_Target","Average_Shot_Distance","Free_Kick_Shots","Shot_Creating_Actions","Live_Pass_Shot_Creation","Other_Type_Shot_Creation","Goal_Creating_Actions","Live_Pass_Goal_Creation","Other_Type_Goal_Creation"
"Duván Zapata","Atalanta","COL","FW",NA,31,2,4,0,0,41,8,19.5,0.05,0.25,15.6,0,46,35,11,7,4,3
"Dylan Bronn","Salernitana","TUN","DF",NA,27,0,0,0,0,8,1,12.5,0,0,15.8,0,14,12,2,2,2,0
"Éderson","Atalanta","BRA","MF",NA,23,1,2,0,0,36,10,27.8,0.03,0.1,21.3,0,55,37,18,5,3,2
"Edin Džeko","Inter","BIH","FW",NA,36,3,12,0,0,73,24,32.9,0.12,0.38,14.4,0,61,47,14,11,7,4
"Edoardo Bove","Roma","ITA","MF",NA,20,0,1,0,0,7,2,28.6,0.14,0.5,12.9,0,17,15,2,0,0,0
"Eldor Shomurodov","Roma","UZB","FW",NA,27,0,0,0,0,18,4,22.2,0.06,0.25,15.7,0,19,17,2,1,1,0
"Eldor Shomurodov","Roma","UZB","FW",NA,27,0,0,0,0,18,4,22.2,0.06,0.25,15.7,0,2,1,1,0,0,0
"Eldor Shomurodov","Roma","UZB","FW",NA,27,0,0,0,0,6,3,50,0,0,19.8,0,19,17,2,1,1,0
"Eldor Shomurodov","Roma","UZB","FW",NA,27,0,0,0,0,6,3,50,0,0,19.8,0,2,1,1,0,0,0
"Eldor Shomurodov","Spezia","UZB","FW",NA,27,1,2,0,0,18,4,22.2,0.06,0.25,15.7,0,19,17,2,1,1,0
"Eldor Shomurodov","Spezia","UZB","FW",NA,27,1,2,0,0,18,4,22.2,0.06,0.25,15.7,0,2,1,1,0,0,0
"Eldor Shomurodov","Spezia","UZB","FW",NA,27,1,2,0,0,6,3,50,0,0,19.8,0,19,17,2,1,1,0
"Eldor Shomurodov","Spezia","UZB","FW",NA,27,1,2,0,0,6,3,50,0,0,19.8,0,2,1,1,0,0,0
"Elif Elmas","Napoli","MKD","FW","MF",22,3,9,1,1,32,10,31.3,0.16,0.5,17.7,1,57,41,16,10,7,3
"Elseid Hysaj","Lazio","ALB","DF",NA,28,1,2,0,0,4,2,50,0.25,0.5,20.8,0,38,34,4,2,2,0
"Emanuel Aiwum","Cremonese","AUT","DF",NA,21,0,0,0,0,3,1,33.3,0,0,17.7,0,11,11,0,0,0,0
"Emanuel Vignato","Bologna","ITA","MF","FW",21,1,1,0,0,1,1,100,0,0,14,0,5,5,0,1,1,0
"Emanuel Vignato","Bologna","ITA","MF","FW",21,1,1,0,0,1,1,100,0,0,14,0,5,5,0,0,0,0
"Emanuel Vignato","Bologna","ITA","MF","FW",21,1,1,0,0,2,1,50,0.5,1,19.7,0,5,5,0,1,1,0
"Emanuel Vignato","Bologna","ITA","MF","FW",21,1,1,0,0,2,1,50,0.5,1,19.7,0,5,5,0,0,0,0
"Emanuel Vignato","Empoli","ITA","MF","FW",21,0,1,0,0,1,1,100,0,0,14,0,5,5,0,1,1,0
"Emanuel Vignato","Empoli","ITA","MF","FW",21,0,1,0,0,1,1,100,0,0,14,0,5,5,0,0,0,0
"Emanuel Vignato","Empoli","ITA","MF","FW",21,0,1,0,0,2,1,50,0.5,1,19.7,0,5,5,0,1,1,0
"Emanuel Vignato","Empoli","ITA","MF","FW",21,0,1,0,0,2,1,50,0.5,1,19.7,0,5,5,0,0,0,0
"Emanuele Valeri","Cremonese","ITA","DF",NA,23,3,5,0,0,40,6,15,0.05,0.33,21.5,3,94,67,27,5,3,2
"Emil Audero","Sampdoria","ITA","GK",NA,25,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,5,5,0,0,0,0
"Emil Bohinen","Salernitana","NOR","MF",NA,23,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,17,15,2,0,0,0
"Emil Ceide","Sassuolo","NOR","FW",NA,20,1,1,0,0,10,3,30,0,0,15.7,0,19,15,4,3,1,2
"Emil Holm","Spezia","SWE","DF",NA,22,1,2,0,0,15,5,33.3,0.07,0.2,14.9,0,36,24,12,1,1,0
"Emirhan İlkhan","Torino","TUR","MF",NA,18,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,5,5,0,1,1,0
"Emirhan İlkhan","Torino","TUR","MF",NA,18,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,3,2,1,0,0,0
"Emirhan İlkhan","Sampdoria","TUR","MF",NA,18,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,5,5,0,1,1,0
