"Player","Squad","Nation","Pos","Pos2","Age","Assists","Goals+Assists","Penalty_Attempted","Penalty_Scored","Shots","Shots_on_Target","Shots_on_Target_Percentage","Goals_per_Shot","Goals_per_Shot_on_Target","Average_Shot_Distance","Free_Kick_Shots","Shot_Creating_Actions","Live_Pass_Shot_Creation","Other_Type_Shot_Creation","Goal_Creating_Actions","Live_Pass_Goal_Creation","Other_Type_Goal_Creation"
"Domingos Duarte","Granada","POR","DF",NA,25,0,1,0,0,6,2,33.3,0.17,0.5,8.4,0,16,14,2,0,0,0
"Domingos Quina","Granada","POR","MF",NA,20,0,2,0,0,8,3,37.5,0.25,0.67,21.7,0,11,7,4,0,0,0
"Eden Hazard","Real Madrid","BEL","FW","MF",29,2,5,0,0,10,5,50,0.3,0.6,16,0,18,13,5,3,2,1
"Éder Militão","Real Madrid","BRA","DF",NA,22,0,1,0,0,12,3,25,0.08,0.33,12,0,9,9,0,2,2,0
"Édgar Badía","Elche","ESP","GK",NA,28,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,2,0,0,0,0
"Édgar Méndez","Alavés","ESP","MF","FW",30,1,6,0,0,35,10,28.6,0.14,0.5,16.5,0,33,20,13,3,1,2
"Edgar Sevikyan","Levante","ARM","MF",NA,18,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Edu Expósito","Eibar","ESP","MF",NA,23,3,3,2,0,41,8,19.5,0,0,23.8,0,88,56,32,5,4,1
"Eliaquim Mangala","Valencia","FRA","DF",NA,29,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,0
"Emerson","Betis","BRA","DF",NA,21,4,5,0,0,11,3,27.3,0.09,0.33,16.6,0,70,57,13,4,3,1
"Emiliano Rigoni","Elche","ARG","MF",NA,27,1,2,0,0,16,7,43.8,0.06,0.14,20.6,4,23,15,8,4,3,1
"Emmanuel Amankwaa Akurugu","Getafe","GHA","DF",NA,18,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Emre Mor","Celta Vigo","TUR","FW","MF",23,0,0,0,0,8,2,25,0,0,18.9,0,8,3,5,0,0,0
"Eñaut Mendía","Eibar","ESP","FW",NA,21,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Enes Ünal","Getafe","TUR","FW",NA,23,2,6,1,1,37,8,21.6,0.08,0.38,13.9,2,26,17,9,4,2,2
"Enis Bardhi","Levante","MKD","MF",NA,25,2,3,0,0,36,13,36.1,0.03,0.08,20.9,5,55,43,12,5,4,1
"Enric Gallego","Osasuna","ESP","FW",NA,33,2,2,0,0,14,4,28.6,0,0,12.2,0,16,13,3,3,2,1
"Erick Cabaco","Getafe","URU","DF",NA,25,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,6,4,2,0,0,0
"Esteban Burgos","Eibar","ARG","DF",NA,28,1,4,3,2,3,2,66.7,0.33,0.5,20.3,0,6,5,1,1,0,1
"Étienne Capoue","Villarreal","FRA","MF",NA,32,0,1,0,0,8,3,37.5,0.13,0.33,20.9,0,10,7,3,0,0,0
"Eugeni Valderrama","Huesca","ESP","MF","FW",26,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,4,2,2,0,0,0
"Ezequiel Ávila","Osasuna","ARG","FW","MF",26,0,0,0,0,8,2,25,0,0,22,0,3,2,1,0,0,0
"Fabián Orellana","Valladolid","CHI","MF","FW",34,2,8,4,4,26,12,46.2,0.08,0.17,20,1,68,44,24,4,4,0
"Facundo Ferreyra","Celta Vigo","ARG","FW",NA,29,0,1,0,0,7,2,28.6,0.14,0.5,12.5,0,2,0,2,0,0,0
"Facundo Pellistri","Alavés","URU","MF","FW",18,0,0,0,0,5,2,40,0,0,21.5,0,6,5,1,0,0,0
"Facundo Roncaglia","Osasuna","ARG","DF",NA,33,1,2,0,0,13,2,15.4,0.08,0.5,25,0,24,18,6,3,2,1
"Fali","Cádiz","ESP","DF","MF",26,0,0,0,0,10,2,20,0,0,13,1,21,17,4,2,1,1
"Fede San Emeterio","Valladolid","ESP","MF",NA,23,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,10,9,1,0,0,0
"Fede Vico","Granada","ESP","MF","FW",26,0,0,0,0,10,4,40,0,0,20.8,2,17,10,7,0,0,0
"Federico Valverde","Real Madrid","URU","MF",NA,22,1,4,0,0,22,8,36.4,0.14,0.38,22,0,50,42,8,4,4,0
"Felipe","Atlético Madrid","BRA","DF",NA,31,0,0,0,0,12,2,16.7,0,0,9.8,0,11,11,0,0,0,0
"Ferland Mendy","Real Madrid","FRA","DF",NA,25,0,1,0,0,12,2,16.7,0.08,0.5,19,0,47,41,6,1,1,0
"Fernando","Sevilla","BRA","MF",NA,33,4,7,0,0,6,4,66.7,0.5,0.75,13.8,0,37,34,3,9,8,1
"Fernando Niño","Villarreal","ESP","FW",NA,19,0,3,0,0,14,7,50,0.21,0.43,9.8,0,8,6,2,1,1,0
"Fernando Pacheco","Alavés","ESP","GK",NA,28,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,7,4,3,0,0,0
"Fidel","Elche","ESP","MF","DF",30,3,9,3,2,15,6,40,0.27,0.67,20.9,3,79,42,37,7,4,3
"Filip Malbašić","Cádiz","SRB","FW","MF",27,1,1,0,0,9,1,11.1,0,0,17.5,0,10,7,3,2,1,1
"Florian Lejeune","Alavés","FRA","DF",NA,29,1,2,0,0,23,6,26.1,0.04,0.17,18.6,5,22,17,5,3,1,2
"Fran Beltrán","Celta Vigo","ESP","MF","FW",21,0,3,0,0,19,7,36.8,0.16,0.43,22.2,0,20,17,3,1,1,0
"Francis Coquelin","Villarreal","FRA","MF",NA,29,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,10,8,2,0,0,0
"Francisco Portillo","Getafe","ESP","MF","FW",30,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,13,11,2,1,1,0
"Francisco Reis Ferreira","Valencia","POR","DF",NA,23,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Francisco Trincão","Barcelona","POR","FW","MF",20,2,5,0,0,23,12,52.2,0.13,0.25,17.3,0,24,16,8,4,3,1
"Franco Vázquez","Sevilla","ARG","FW","MF",31,0,1,0,0,3,1,33.3,0.33,1,15.6,0,4,4,0,0,0,0
"Frenkie de Jong","Barcelona","NED","MF","DF",23,4,7,0,0,17,6,35.3,0.18,0.5,11.4,0,89,76,13,9,7,2
"Gabriel Paulista","Valencia","BRA","DF",NA,29,1,5,0,0,15,6,40,0.27,0.67,15.3,0,20,18,2,2,1,1
