"Player","Squad","Nation","Pos","Pos2","Age","Progression_Carries","Progression_Passes_Delivered","Progression_Passes_Recived","Total_Passes_Completed","Total_Passes_Attempted","Total_Pass_Percentage","Short_Passes_Completed","Short_Passes_Attempted","Short_Pass_Percentage","Long_Passes_Completed","Long_Passes_Attempted","Long_Pass_Percentage","Medium_Passes_Completed","Medium_Passes_Attempted","Medium_Pass_Percentage","Key_Passes","Passes_Into_Penalty_Area","Crosses_Into_Penalty_Area","Live_Pass","Dead_Pass","Free_Kicks","Through_Balls","Switches","Crosses","Throw_Ins","Corner_Kicks","Offside","Touches","Take_Ons_Attempted","Take_Ons_Wins","Take_On_Win_Percentage","Take_Ons_Tackled","Take_Ons_Tackled_Percentage"
"Bebé","Rayo Vallecano","CPV","FW",NA,31,54,10,80,208,332,62.7,105,125,84,31,75,41.3,63,102,61.8,15,11,8,289,42,17,2,5,87,4,20,1,497,48,29,60.4,19,39.6
"Beñat Turrientes","Real Sociedad","ESP","MF",NA,19,3,11,6,81,93,87.1,42,45,93.3,10,10,100,28,34,82.4,3,0,0,89,3,2,1,0,2,0,1,1,114,11,7,63.6,4,36.4
"Borja Iglesias","Betis","ESP","FW",NA,28,18,29,102,240,342,70.2,142,184,77.2,15,26,57.7,64,85,75.3,15,14,1,305,37,1,6,8,6,3,1,0,510,32,13,40.6,19,59.4
"Borja Mayoral","Getafe","ESP","FW",NA,24,21,24,55,189,260,72.7,110,138,79.7,14,19,73.7,45,62,72.6,13,6,2,243,17,1,0,0,7,0,0,0,369,29,14,48.3,15,51.7
"Boulaye Dia","Villarreal","SEN","FW",NA,24,22,16,93,189,253,74.7,108,135,80,5,7,71.4,60,76,78.9,17,4,0,237,15,0,1,1,1,0,0,1,376,21,11,52.4,10,47.6
"Brais Méndez","Celta Vigo","ESP","MF",NA,24,57,195,161,1195,1528,78.2,664,767,86.6,98,154,63.6,351,428,82,35,42,6,1480,39,19,13,21,41,17,2,9,1991,70,34,48.6,36,51.4
"Brian Oliván","Mallorca","ESP","DF",NA,27,31,65,91,654,1025,63.8,291,339,85.8,60,206,29.1,281,405,69.4,19,16,9,796,222,23,1,12,73,188,9,7,1228,10,7,70,3,30
"Bryan Gil","Valencia","ESP","MF","FW",20,22,26,64,156,244,63.9,92,105,87.6,13,37,35.1,38,79,48.1,10,12,3,212,30,7,3,1,44,7,16,2,379,35,17,48.6,18,51.4
"Cala","Cádiz","ESP","DF",NA,31,0,8,2,216,295,73.2,47,57,82.5,47,89,52.8,120,142,84.5,2,0,0,275,17,16,0,13,0,1,0,3,401,1,1,100,0,0
"Carles Aleñá","Getafe","ESP","MF",NA,23,33,81,65,683,869,78.6,330,382,86.4,62,106,58.5,266,309,86.1,20,14,5,827,39,24,2,10,44,2,11,3,1095,35,17,48.6,18,51.4
