"Player","Squad","Nation","Pos","Pos2","Age","Yellow_Card","Red_Card","Second_Yellow_Card","Total_Red_Cards","Fouls"
"Lucas Hernández","Paris S-G","FRA","DF",NA,27,6,0,0,0,23
"Bonke Innocent","Lorient","NGA","MF",NA,27,1,0,0,0,5
"Ismaily","Lille","BRA","DF",NA,33,1,0,0,0,15
"Yanis Issoufou","Montpellier","FRA","MF",NA,16,0,0,0,0,1
"Junya Ito","Reims","JPN","FW","MF",30,2,0,0,0,18
"Jérémy Jacquet","Clermont Foot","FRA","DF",NA,18,0,0,0,0,1
"Ismail Jakobs","Monaco","SEN","DF",NA,23,0,0,0,0,25
"Ablie Jallow","Metz","GAM","MF","FW",24,1,0,0,0,8
"Danley Jean-Jacques","Metz","HAI","MF",NA,23,5,0,0,0,48
"Jeffinho","Lyon","BRA","FW","MF",23,0,0,0,0,4
"Antoine Joujou","Le Havre","FRA","FW","MF",20,1,0,0,0,17
"Christopher Jullien","Montpellier","FRA","DF",NA,30,5,0,0,0,13
"Eli Junior Kroupi","Lorient","FRA","FW","MF",17,1,0,0,0,16
"Abdoul Kader Bamba","Nantes","FRA","FW","MF",29,2,0,0,0,3
"Yaya Kader Fofana","Reims","MLI","MF","DF",19,0,0,0,0,2
"Tino Kadewere","Lyon","ZIM","FW","MF",27,0,0,0,0,6
"Tino Kadewere","Nantes","ZIM","FW","MF",27,1,0,0,0,13
"Arnaud Kalimuendo","Rennes","FRA","FW",NA,21,6,0,0,0,28
"Gedeon Kalulu","Lorient","COD","DF",NA,25,0,0,0,0,18
"Waren Kamanzi","Toulouse","NOR","DF","FW",22,1,0,0,0,12
"Lee Kang-in","Paris S-G","KOR","FW","MF",22,2,0,0,0,17
"Yann Karamoh","Montpellier","FRA","FW","MF",25,1,0,0,0,7
"Ayman Kari","Lorient","FRA","MF",NA,18,1,0,0,0,10
"Panos Katseris","Lorient","GRE","DF",NA,22,4,0,0,0,19
"Kévin Keben Biakolo","Toulouse","CMR","DF",NA,19,1,0,0,0,10
"Yassine Kechta","Le Havre","MAR","MF",NA,21,4,0,0,0,30
"Thilo Kehrer","Monaco","GER","DF",NA,26,4,1,1,2,17
"Habib Keita","Clermont Foot","MLI","MF",NA,21,4,0,0,0,23
"Reda Khadra","Reims","GER","FW","MF",22,1,0,0,0,13
"Wahbi Khazri","Montpellier","TUN","FW",NA,32,6,0,0,0,19
"Abdukodir Khusanov","Lens","UZB","DF",NA,19,5,0,0,0,9
"Philipp Köhn","Monaco","SUI","GK",NA,25,0,0,0,0,0
"Randal Kolo Muani","Paris S-G","FRA","FW","MF",24,1,0,0,0,34
"Cheick Konaté","Clermont Foot","MLI","DF",NA,19,4,0,0,0,17
"Geoffrey Kondogbia","Marseille","CTA","MF",NA,30,3,0,0,0,25
"Abdoul Koné","Reims","FRA","DF",NA,18,1,0,0,0,2
"Amadou Koné","Reims","MLI","MF",NA,18,4,1,1,2,7
"Ibrahima Koné","Lorient","MLI","FW",NA,24,0,0,0,0,0
"N'Guessan Kouadio","Metz","CIV","MF","FW",20,0,0,0,0,10
"Koffi Kouao","Metz","CIV","DF",NA,25,2,0,0,0,16
"Therence Koudou","Reims","FRA","DF",NA,18,3,0,0,0,9
"Boubakar Kouyaté","Montpellier","MLI","DF",NA,26,5,1,0,1,35
"Sael Kumbedi","Lyon","FRA","DF",NA,18,3,0,0,0,23
"Daler Kuzyaev","Le Havre","RUS","MF",NA,30,1,0,0,0,30
"Grejohn Kyei","Clermont Foot","FRA","FW",NA,27,1,0,0,0,29
"Gaëtan Laborde","Nice","FRA","FW","MF",29,2,0,0,0,25
"Alexandre Lacazette","Lyon","FRA","FW",NA,32,3,1,0,1,50
"Alban Lafont","Nantes","FRA","GK",NA,24,2,0,0,0,1
"Kenny Lala","Brest","MAD","DF",NA,31,7,0,0,0,24
"Mathis Lambourde","Rennes","FRA","FW",NA,17,0,0,0,0,0
"Mohamed Lamine Bayo","Le Havre","GUI","FW",NA,25,4,0,0,0,14
"Didier Lamkel Zé","Metz","CMR","FW","MF",26,1,0,0,0,14
"Julien Laporte","Lorient","FRA","DF",NA,29,4,0,0,0,20
"Théo Le Bris","Lorient","FRA","DF","MF",20,2,0,0,0,7
"Julien Le Cardinal","Brest","FRA","DF",NA,25,3,0,0,0,7
"Julien Le Cardinal","Lens","FRA","DF",NA,25,0,0,0,0,2
"Jérémy Le Douaron","Brest","FRA","FW",NA,25,3,0,0,0,29
"Enzo Le Fée","Rennes","FRA","MF",NA,23,3,0,0,0,24
"Vincent Le Goff","Lorient","FRA","DF","MF",33,1,0,0,0,3
"Adrien Lebeau","Brest","FRA","MF","FW",24,0,0,0,0,1
"Benjamin Lecomte","Montpellier","FRA","GK",NA,32,1,0,0,0,0
"Pierre Lees-Melou","Brest","FRA","MF",NA,30,12,1,1,2,47
"Johann Lepenant","Lyon","FRA","MF",NA,20,1,0,0,0,6
"Léo Leroy","Montpellier","FRA","MF",NA,23,4,0,0,0,19
"Gautier Lloris","Le Havre","FRA","DF",NA,28,2,0,0,0,35
"Abou Lô","Metz","SEN","MF","DF",23,0,1,0,1,3
"Bradley Locko","Brest","FRA","DF",NA,21,5,0,0,0,26
"Renan Lodi","Marseille","BRA","DF",NA,25,6,0,0,0,27
"Andy Logbo","Le Havre","FRA","FW",NA,19,0,0,0,0,12
"Anthony Lopes","Lyon","POR","GK",NA,32,0,0,0,0,1
"Pau López","Marseille","ESP","GK",NA,28,1,0,0,0,0
"Jordan Lotomba","Nice","SUI","DF",NA,24,4,0,0,0,12
"Tom Louchet","Nice","FRA","MF","DF",20,1,0,0,0,7
"Imran Louza","Lorient","MAR","MF",NA,24,1,0,0,0,16
"Dejan Lovren","Lyon","CRO","DF",NA,34,2,1,0,1,12
"Joshua M'Bahia","Clermont Foot","CIV","MF",NA,18,1,0,0,0,1
"Othmane Maamma","Montpellier","FRA","FW",NA,17,0,0,0,0,0
"Deiver Machado","Lens","COL","DF",NA,29,4,0,0,0,30
"Soungoutou Magassa","Monaco","FRA","DF","MF",19,7,0,0,0,31
"Hugo Magnetti","Brest","FRA","MF",NA,25,6,0,0,0,21
"Yohann Magnin","Clermont Foot","FRA","MF",NA,26,2,0,0,0,37
